input_file,base_file,temp,shifts,time_step,mineral,multiplier
job201_Alkali-feldspar_0.01.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Alkali-feldspar,0.01
job202_Alkali-feldspar_0.1.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Alkali-feldspar,0.1
job203_Alkali-feldspar_1.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Alkali-feldspar,1
job204_Alkali-feldspar_10.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Alkali-feldspar,10
job205_Alkali-feldspar_100.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Alkali-feldspar,100
job206_Montmorillonite_0.01.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Montmorillonite,0.01
job207_Montmorillonite_0.1.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Montmorillonite,0.1
job208_Montmorillonite_1.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Montmorillonite,1
job209_Montmorillonite_10.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Montmorillonite,10
job210_Montmorillonite_100.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Montmorillonite,100
job211_Ilmenite_0.01.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Ilmenite,0.01
job212_Ilmenite_0.1.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Ilmenite,0.1
job213_Ilmenite_1.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Ilmenite,1
job214_Ilmenite_10.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Ilmenite,10
job215_Ilmenite_100.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Ilmenite,100
job216_Glass_0.01.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Glass,0.01
job217_Glass_0.1.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Glass,0.1
job218_Glass_1.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Glass,1
job219_Glass_10.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Glass,10
job220_Glass_100.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Glass,100
job221_MikeSorghum_0.01.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,MikeSorghum,0.01
job222_MikeSorghum_0.1.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,MikeSorghum,0.1
job223_MikeSorghum_1.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,MikeSorghum,1
job224_MikeSorghum_10.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,MikeSorghum,10
job225_MikeSorghum_100.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,MikeSorghum,100
job226_Quartz_0.01.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Quartz,0.01
job227_Quartz_0.1.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Quartz,0.1
job228_Quartz_1.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Quartz,1
job229_Quartz_10.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Quartz,10
job230_Quartz_100.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Quartz,100
job231_Plagioclase_0.01.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Plagioclase,0.01
job232_Plagioclase_0.1.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Plagioclase,0.1
job233_Plagioclase_1.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Plagioclase,1
job234_Plagioclase_10.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Plagioclase,10
job235_Plagioclase_100.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Plagioclase,100
job236_Apatite_0.01.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Apatite,0.01
job237_Apatite_0.1.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Apatite,0.1
job238_Apatite_1.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Apatite,1
job239_Apatite_10.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Apatite,10
job240_Apatite_100.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Apatite,100
job241_Diopside_Mn_0.01.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Diopside_Mn,0.01
job242_Diopside_Mn_0.1.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Diopside_Mn,0.1
job243_Diopside_Mn_1.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Diopside_Mn,1
job244_Diopside_Mn_10.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Diopside_Mn,10
job245_Diopside_Mn_100.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Diopside_Mn,100
job246_Diopside_0.01.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Diopside,0.01
job247_Diopside_0.1.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Diopside,0.1
job248_Diopside_1.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Diopside,1
job249_Diopside_10.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Diopside,10
job250_Diopside_100.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Diopside,100
job251_Olivine_0.01.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Olivine,0.01
job252_Olivine_0.1.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Olivine,0.1
job253_Olivine_1.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Olivine,1
job254_Olivine_10.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Olivine,10
job255_Olivine_100.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Olivine,100
job256_Alkali-feldspar_0.01.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Alkali-feldspar,0.01
job257_Alkali-feldspar_0.1.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Alkali-feldspar,0.1
job258_Alkali-feldspar_1.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Alkali-feldspar,1
job259_Alkali-feldspar_10.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Alkali-feldspar,10
job260_Alkali-feldspar_100.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Alkali-feldspar,100
job261_Montmorillonite_0.01.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Montmorillonite,0.01
job262_Montmorillonite_0.1.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Montmorillonite,0.1
job263_Montmorillonite_1.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Montmorillonite,1
job264_Montmorillonite_10.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Montmorillonite,10
job265_Montmorillonite_100.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Montmorillonite,100
job266_Ilmenite_0.01.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Ilmenite,0.01
job267_Ilmenite_0.1.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Ilmenite,0.1
job268_Ilmenite_1.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Ilmenite,1
job269_Ilmenite_10.pqi,Beerling_Clean_V3.pqi,5,300,526083.015,Ilmenite,10
